episode_id,case,policy,seed,notes,status
revision_depheld_always_verify_s400,dep_sensitive_held_out,always_verify,400,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s401,dep_sensitive_held_out,always_verify,401,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s402,dep_sensitive_held_out,always_verify,402,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s403,dep_sensitive_held_out,always_verify,403,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s404,dep_sensitive_held_out,always_verify,404,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s405,dep_sensitive_held_out,always_verify,405,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s406,dep_sensitive_held_out,always_verify,406,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s407,dep_sensitive_held_out,always_verify,407,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s408,dep_sensitive_held_out,always_verify,408,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s409,dep_sensitive_held_out,always_verify,409,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s410,dep_sensitive_held_out,always_verify,410,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s411,dep_sensitive_held_out,always_verify,411,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s412,dep_sensitive_held_out,always_verify,412,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s413,dep_sensitive_held_out,always_verify,413,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s414,dep_sensitive_held_out,always_verify,414,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s415,dep_sensitive_held_out,always_verify,415,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s416,dep_sensitive_held_out,always_verify,416,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s417,dep_sensitive_held_out,always_verify,417,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s418,dep_sensitive_held_out,always_verify,418,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s419,dep_sensitive_held_out,always_verify,419,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s420,dep_sensitive_held_out,always_verify,420,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s421,dep_sensitive_held_out,always_verify,421,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s422,dep_sensitive_held_out,always_verify,422,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s423,dep_sensitive_held_out,always_verify,423,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s424,dep_sensitive_held_out,always_verify,424,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s425,dep_sensitive_held_out,always_verify,425,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s426,dep_sensitive_held_out,always_verify,426,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s427,dep_sensitive_held_out,always_verify,427,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s428,dep_sensitive_held_out,always_verify,428,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s429,dep_sensitive_held_out,always_verify,429,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
revision_depheld_always_verify_s430,dep_sensitive_held_out,always_verify,430,Counterfactual verified outcome for exact top-B held-out sandbox table.,done
