episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table4_cross_slice_300_easy_s20_random_matched,easy,random_verify_matched_budget,20,0,0,1,0,0.0,9.2,9.2,low,0.162,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.5,0.162,0.05,0.008100000000000001,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Random matched-budget baseline. p=0.5000, verify=False"
revision_table4_cross_slice_300_easy_s20_uncertainty_matched,easy,uncertainty_only_matched_budget,20,0,0,1,0,0.0,9.2,9.2,low,0.162,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.162,0.162,0.05,0.008100000000000001,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Matched-budget uncertainty-only rule: hint >= 0.4570. score=0.1620, verify=False"
revision_table4_cross_slice_300_easy_s20_harm,easy,harm_aware_selective,20,0,0,1,0,0.0,9.2,9.2,low,0.162,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.008100000000000001,0.162,0.05,0.008100000000000001,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.1620, H=0.0500, score=0.0081, verify=False"
revision_table4_cross_slice_300_easy_s21_random_matched,easy,random_verify_matched_budget,21,1,0,1,0,0.5,9.2,9.2,low,0.221,0.0,9.2,9.2,reversible,weak,verify_then_decide,risky_patch,0.5,0.221,0.05,0.01105,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Random matched-budget baseline. p=0.5000, verify=True"
revision_table4_cross_slice_300_easy_s21_uncertainty_matched,easy,uncertainty_only_matched_budget,21,0,0,1,0,0.0,9.2,9.2,low,0.221,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.221,0.221,0.05,0.01105,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Matched-budget uncertainty-only rule: hint >= 0.4570. score=0.2210, verify=False"
revision_table4_cross_slice_300_easy_s21_harm,easy,harm_aware_selective,21,0,0,1,0,0.0,9.2,9.2,low,0.221,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.01105,0.221,0.05,0.01105,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.2210, H=0.0500, score=0.0111, verify=False"
revision_table4_cross_slice_300_easy_s22_random_matched,easy,random_verify_matched_budget,22,0,0,1,0,0.0,9.2,9.2,low,0.141,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.5,0.141,0.05,0.00705,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Random matched-budget baseline. p=0.5000, verify=False"
revision_table4_cross_slice_300_easy_s22_uncertainty_matched,easy,uncertainty_only_matched_budget,22,0,0,1,0,0.0,9.2,9.2,low,0.141,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.141,0.141,0.05,0.00705,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Matched-budget uncertainty-only rule: hint >= 0.4570. score=0.1410, verify=False"
revision_table4_cross_slice_300_easy_s22_harm,easy,harm_aware_selective,22,0,0,1,0,0.0,9.2,9.2,low,0.141,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.00705,0.141,0.05,0.00705,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Harm-aware rule: p_score * harm_score >= 0.2820. p=0.1410, H=0.0500, score=0.0070, verify=False"
revision_table4_cross_slice_300_easy_s23_random_matched,easy,random_verify_matched_budget,23,0,0,1,0,0.0,9.2,9.2,low,0.375,0.0,9.2,9.2,reversible,weak,direct,risky_patch,0.5,0.375,0.05,0.018750000000000003,0,0.0,0,0.05,1.0,benign,0.457,0.28204125,0.5,"Random matched-budget baseline. p=0.5000, verify=False"
