episode_id,case,slice_name,seed,policy,status
revision_table5_exactTopB150_repl_H_only_s22,dependency_sensitive,dependency_sensitive,22,H_only,done
revision_table5_exactTopB150_repl_H_only_s24,dependency_sensitive,dependency_sensitive,24,H_only,done
revision_table5_exactTopB150_repl_H_only_s25,dependency_sensitive,dependency_sensitive,25,H_only,done
revision_table5_exactTopB150_repl_H_only_s26,dependency_sensitive,dependency_sensitive,26,H_only,done
revision_table5_exactTopB150_repl_H_only_s27,dependency_sensitive,dependency_sensitive,27,H_only,done
revision_table5_exactTopB150_repl_H_only_s28,dependency_sensitive,dependency_sensitive,28,H_only,done
revision_table5_exactTopB150_repl_H_only_s29,dependency_sensitive,dependency_sensitive,29,H_only,done
revision_table5_exactTopB150_repl_H_only_s30,dependency_sensitive,dependency_sensitive,30,H_only,done
revision_table5_exactTopB150_repl_H_only_s31,dependency_sensitive,dependency_sensitive,31,H_only,done
revision_table5_exactTopB150_repl_H_only_s37,dependency_sensitive,dependency_sensitive,37,H_only,done
revision_table5_exactTopB150_repl_H_only_s38,dependency_sensitive,dependency_sensitive,38,H_only,done
revision_table5_exactTopB150_repl_H_only_s41,dependency_sensitive,dependency_sensitive,41,H_only,done
revision_table5_exactTopB150_repl_H_only_s42,dependency_sensitive,dependency_sensitive,42,H_only,done
revision_table5_exactTopB150_repl_H_only_s43,dependency_sensitive,dependency_sensitive,43,H_only,done
revision_table5_exactTopB150_repl_H_only_s44,dependency_sensitive,dependency_sensitive,44,H_only,done
revision_table5_exactTopB150_repl_H_only_s45,dependency_sensitive,dependency_sensitive,45,H_only,done
revision_table5_exactTopB150_repl_H_only_s47,dependency_sensitive,dependency_sensitive,47,H_only,done
revision_table5_exactTopB150_repl_H_only_s49,dependency_sensitive,dependency_sensitive,49,H_only,done
revision_table5_exactTopB150_repl_H_only_s50,dependency_sensitive,dependency_sensitive,50,H_only,done
revision_table5_exactTopB150_repl_H_only_s51,dependency_sensitive,dependency_sensitive,51,H_only,done
revision_table5_exactTopB150_repl_H_only_s53,dependency_sensitive,dependency_sensitive,53,H_only,done
revision_table5_exactTopB150_repl_H_only_s55,dependency_sensitive,dependency_sensitive,55,H_only,done
revision_table5_exactTopB150_repl_H_only_s56,dependency_sensitive,dependency_sensitive,56,H_only,done
revision_table5_exactTopB150_repl_H_only_s65,dependency_sensitive,dependency_sensitive,65,H_only,done
revision_table5_exactTopB150_repl_H_only_s66,dependency_sensitive,dependency_sensitive,66,H_only,done
revision_table5_exactTopB150_repl_H_only_s70,dependency_sensitive,dependency_sensitive,70,H_only,done
revision_table5_exactTopB150_repl_H_only_s72,dependency_sensitive,dependency_sensitive,72,H_only,done
revision_table5_exactTopB150_repl_H_only_s73,dependency_sensitive,dependency_sensitive,73,H_only,done
