episode_id,case,policy,seed,notes,status
revision_jointcal_missing_unverified_s122,dependency_sensitive,no_verify,122,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s124,dependency_sensitive,no_verify,124,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s125,dependency_sensitive,no_verify,125,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s126,dependency_sensitive,no_verify,126,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s127,dependency_sensitive,always_verify,127,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s129,dependency_sensitive,no_verify,129,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s134,dependency_sensitive,always_verify,134,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s136,dependency_sensitive,always_verify,136,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s137,dependency_sensitive,no_verify,137,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s138,dependency_sensitive,no_verify,138,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s141,dependency_sensitive,always_verify,141,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s142,dependency_sensitive,always_verify,142,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s143,dependency_sensitive,always_verify,143,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s144,dependency_sensitive,always_verify,144,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s148,dependency_sensitive,no_verify,148,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s149,dependency_sensitive,no_verify,149,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s151,dependency_sensitive,always_verify,151,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s152,dependency_sensitive,no_verify,152,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s153,dependency_sensitive,no_verify,153,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s154,dependency_sensitive,no_verify,154,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s155,dependency_sensitive,no_verify,155,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s156,dependency_sensitive,no_verify,156,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s158,dependency_sensitive,always_verify,158,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s160,dependency_sensitive,no_verify,160,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s162,dependency_sensitive,no_verify,162,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s167,dependency_sensitive,always_verify,167,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s169,dependency_sensitive,no_verify,169,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s172,dependency_sensitive,always_verify,172,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s173,dependency_sensitive,no_verify,173,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s174,dependency_sensitive,always_verify,174,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s177,dependency_sensitive,no_verify,177,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s178,dependency_sensitive,no_verify,178,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s180,dependency_sensitive,no_verify,180,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s181,dependency_sensitive,always_verify,181,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s182,dependency_sensitive,no_verify,182,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s183,dependency_sensitive,no_verify,183,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s184,dependency_sensitive,always_verify,184,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s185,dependency_sensitive,always_verify,185,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s186,dependency_sensitive,always_verify,186,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s187,dependency_sensitive,always_verify,187,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s189,dependency_sensitive,no_verify,189,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s191,dependency_sensitive,no_verify,191,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s192,dependency_sensitive,no_verify,192,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s193,dependency_sensitive,no_verify,193,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s195,dependency_sensitive,no_verify,195,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s196,dependency_sensitive,always_verify,196,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s199,dependency_sensitive,always_verify,199,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s200,dependency_sensitive,no_verify,200,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s203,dependency_sensitive,always_verify,203,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s205,dependency_sensitive,no_verify,205,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s206,dependency_sensitive,always_verify,206,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s207,dependency_sensitive,no_verify,207,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s209,dependency_sensitive,no_verify,209,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s210,dependency_sensitive,no_verify,210,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s213,dependency_sensitive,no_verify,213,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s215,dependency_sensitive,no_verify,215,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s217,dependency_sensitive,always_verify,217,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s219,dependency_sensitive,no_verify,219,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s220,dependency_sensitive,always_verify,220,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s222,dependency_sensitive,always_verify,222,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s223,dependency_sensitive,no_verify,223,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s230,dependency_sensitive,always_verify,230,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s233,dependency_sensitive,always_verify,233,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s234,dependency_sensitive,always_verify,234,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s235,dependency_sensitive,always_verify,235,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s239,dependency_sensitive,no_verify,239,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s241,dependency_sensitive,no_verify,241,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s243,dependency_sensitive,always_verify,243,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s244,dependency_sensitive,always_verify,244,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s245,dependency_sensitive,no_verify,245,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s247,dependency_sensitive,no_verify,247,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s249,dependency_sensitive,always_verify,249,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s252,dependency_sensitive,always_verify,252,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s253,dependency_sensitive,no_verify,253,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s254,dependency_sensitive,always_verify,254,Joint calibration missing verified outcome for eval split.,done
