episode_id,case,policy,seed,notes,status
revision_depheld_p_only_s400,dep_sensitive_held_out,p_only,400,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s401,dep_sensitive_held_out,p_only,401,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s402,dep_sensitive_held_out,p_only,402,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s403,dep_sensitive_held_out,p_only,403,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s404,dep_sensitive_held_out,p_only,404,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s405,dep_sensitive_held_out,p_only,405,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s406,dep_sensitive_held_out,p_only,406,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s407,dep_sensitive_held_out,p_only,407,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s408,dep_sensitive_held_out,p_only,408,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s409,dep_sensitive_held_out,p_only,409,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s410,dep_sensitive_held_out,p_only,410,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s411,dep_sensitive_held_out,p_only,411,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s412,dep_sensitive_held_out,p_only,412,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s413,dep_sensitive_held_out,p_only,413,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s414,dep_sensitive_held_out,p_only,414,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s415,dep_sensitive_held_out,p_only,415,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s416,dep_sensitive_held_out,p_only,416,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s417,dep_sensitive_held_out,p_only,417,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s418,dep_sensitive_held_out,p_only,418,Small true held-out procedural sandbox diagnostic.,done
revision_depheld_p_only_s419,dep_sensitive_held_out,p_only,419,Small true held-out procedural sandbox diagnostic.,done
